date,branch_installs,registrations,total_questions_asked,total_users_asking_questions,total_videos_watched,total_students_watching_videos,(New-Users)Q-Ask,(New)Q-Ask-Count,(New-Users)V-Views,(New)V-Views-Count
2019-08-29,20673,20110,275238,70353,508156,74996,0,0,0,0
2019-08-30,23656,22838,264562,69509,490048,74961,0,0,0,0
2019-08-31,17308,16653,236103,61601,448731,67444,0,0,0,0
2019-09-01,16610,16001,261222,61470,502767,72891,0,0,0,0
2019-09-02,13918,13177,229634,56869,507819,67897,0,0,0,0
2019-09-03,14548,14906,240444,61646,481315,71685,0,0,0,0
2019-09-04,13629,14100,238425,60766,460647,68376,0,0,0,0
2019-09-05,13860,14195,226561,58218,461631,66950,0,0,0,0
2019-09-06,15839,16190,235796,62859,478618,70133,0,0,0,0
2019-09-07,15892,16049,228592,61392,469660,69978,0,0,0,0
2019-09-08,20150,19432,285898,68321,582278,79568,0,0,0,0
2019-09-09,18356,17030,239108,63061,471702,71347,0,0,0,0
2019-09-10,27106,23756,293803,75601,580016,82894,0,0,0,0
2019-09-11,25921,22973,269236,72105,535712,79483,0,0,0,0
2019-09-12,29655,26640,299406,79108,593658,86868,0,0,0,0
2019-09-13,27280,24564,289026,77684,568749,84708,0,0,0,0
2019-09-14,28262,24812,293615,78686,580695,87072,0,0,0,0
2019-09-15,36974,33027,366151,90199,718528,98468,0,0,0,0
2019-09-16,32015,28406,306355,82738,600782,90686,0,0,0,0
2019-09-17,30234,26730,315709,84806,625303,91914,0,0,0,0
2019-09-18,22530,19981,306511,80237,597062,87553,0,0,0,0
2019-09-19,26459,23805,315153,83857,602371,84680,0,0,0,0
2019-09-20,27536,24634,307716,82499,572075,79171,0,0,0,0
2019-09-21,25886,23190,285887,78064,562471,84475,0,0,0,0
2019-09-22,30519,27380,346023,86249,654406,93133,0,0,0,0
2019-09-23,24912,22014,302990,80960,574550,88271,0,0,0,0
2019-09-24,26252,23407,326807,86256,622274,92428,0,0,0,0
2019-09-25,22336,19913,312882,82653,612975,90980,0,0,0,0
2019-09-26,23149,20555,310428,82696,618035,92211,0,0,0,0
2019-09-27,36699,31984,315226,87126,614354,95260,0,0,0,0
2019-09-28,38456,33988,307242,84379,594704,92861,0,0,0,0
2019-09-29,29414,25032,307184,76386,590368,85824,0,0,0,0
2019-09-30,36710,34148,292617,81985,560198,90718,10000,10000,10000,10000
2019-09-01,39090,30933,292658,82630,561099,91054,22609,66736,20763,107431
2019-10-02,41831,36811,361726,94292,678759,103924,27553,85484,25398,143266
2019-10-03,31255,26871,303881,82754,577428,92552,19851,58811,18379,101364
2019-10-04,23250,20291,271729,74047,539130,85152,14721,44032,13712,78016
2019-10-05,20449,17532,237066,64970,476300,75533,12694,37956,11935,66999
2019-10-06,19073,16278,242691,59974,488887,73573,11956,38744,11300,68631
2019-10-07,15382,13077,211138,54879,439903,68265,9570,29050,8994,53634
2019-10-08,15147,13060,230195,55841,463491,66707,9515,30580,8984,55909
2019-10-09,19424,16783,255328,65308,517009,75824,12423,38247,11603,68998
2019-10-10,27373,23557,289470,77144,584396,87277,17526,52921,16377,95595
2019-10-11,34646,30084,307450,85461,613700,94799,22460,65435,20918,117839
2019-10-12,44279,38603,332685,93114,677091,104343,28570,86385,26972,158569
2019-10-13,37244,32411,367355,92041,734912,103345,24423,80278,22699,142230
2019-10-14,29877,25993,327946,88995,661299,100115,19907,60630,18199,105978

2019-10-15,29038,25142,353530,93521,692765,102650,19511,60847,17985,106482
2019-10-16,24262,24786,297146,84141,617420,93294,16853,50758,16531,94218
2019-10-17,28600,24822,335319,90787,675178,101485,18911,57794,17308,101520
2019-10-18,26804,23009,333520,89801,666528,98404,17732,57387,16137,101694
2019-10-19,25354,21274,313052,83799,637490,94958,16111,53450,15009,97456
2019-10-20,27902,24374,342173,85710,701622,96710,18662,59962,17231,108276
2019-10-21,35116,30914,356626,92214,719399,99669,23003,80494,21561,146814
2019-10-22,25552,22406,318842,87195,655698,95077,16831,52753,15226,89899
2019-10-23,22785,20167,294323,81209,614769,90935,15225,47468,13755,81548

2019-10-24,19515,17101,258520,71892,544520,81965,12809,38962,11541,65631
2019-10-25,14359,12646,211319,57661,455217,69133,9204,28370,8413,48926
2019-10-26,11736,10075,182728,47711,397061,60037,7044,21851,6569,37248
2019-10-27,7398,6202,122346,30326,277357,42880,4125,12176,3861,20903
2019-10-28,10358,8812,173758,44005,382643,57166,6181,19108,5761,33835
2019-10-29,14187,12022,208720,52996,445800,66056,8423,24222,8057,43615
2019-10-30,19322,17002,234581,61948,485984,72294,12117,34888,11108,60130
2019-10-31,25728,22105,255873,70096,531713,80829,15950,46232,14904,80829
2019-11-01,24239,20873,255029,69815,528547,79879,15280,44857,14132,78739
2019-11-02,25161,21601,250843,67844,528082,78509,15632,46038,14628,83638
2019-11-03,30425,26182,282273,73365,595691,84460,19256,58178,18023,106578
2019-11-04,34800,30036,294896,83471,621679,93932,21803,61748,20453,113722
2019-11-05,36865,31681,330503,92804,701988,102896,23377,67669,21906,124675
2019-11-06,25738,22075,321795,88795,680882,98982,16307,48123,15118,88062
2019-11-07,25536,22119,326450,89550,694511,99960,16534,48538,15389,88031
2019-11-08,22656,19508,305748,84333,649661,93641,14621,44739,13724,80717
2019-11-09,29142,24997,300811,82909,647066,91668,18256,52865,17319,100542
2019-11-10,23309,20126,304898,75408,638659,85966,14672,46801,13848,84278
2019-11-11,28720,24736,309674,84509,646409,93993,17918,52550,16924,93062
2019-11-12,33830,29536,354807,96594,734014,105289,21735,63771,20194,111931
2019-11-13,33696,29504,341352,95728,710999,104894,21588,61505,19916,105913

2019-11-14,29924,25911,345085,95242,713215,104587,19029,56884,17518,97378
2019-11-15,30116,26101,346530,96449,719267,105691,19239,55900,17836,98857
2019-11-16,28997,25068,310087,87793,667673,99735,17744,51745,16874,94977
2019-11-17,30332,26363,391187,95518,800538,106833,20095,66966,18615,118639
2019-11-18,25759,22203,348201,92947,715518,102450,16886,53411,15539,91375

2019-11-19,30047,26346,356745,99444,747359,108503,19822,58872,18255,102099
2019-11-20,30047,32236,391302,106604,812250,115570,24464,72288,22471,128897
2019-11-21,30047,39279,407693,114749,842222,123885,29545,85716,27195,149920
2019-11-22,31081,26839,360936,100838,765307,111382,19480,56814,18052,101547
2019-11-23,28976,25169,339642,93992,713038,105177,18751,55965,17248,97677
2019-11-24,32085,27270,412159,101224,840295,111250,20727,68145,19028,119356
2019-11-25,29639,25526,379882,101892,771048,110269,19035,57014,17397,98062
2019-11-26,33210,28861,408484,108282,787810,116218,21305,64672,19474,106232
2019-11-27,31786,27045,406073,110046,830341,120260,20535,62493,18827,108519
2019-11-28,28990,24936,388285,106012,824097,117591,18540,55675,17185,99457

2019-11-29,28473,24343,373231,102268,783804,113454,17703,52669,16528,96329
2019-11-30,25858,22188,341282,92959,725132,106782,16108,48057,15285,87228
2019-12-01,26323,23011,403043,97142,850305,112004,17257,56652,16252,107034
2019-12-02,24181,20798,371375,98135,782930,109919,15349,47961,14439,88930
2019-12-03,28688,24685,392586,106559,844456,118328,18492,57229,17473,107945
2019-12-04,27002,23105,396220,106172,836898,117593,17296,53296,16132,96710
2019-12-05,27739,23736,399160,107195,823938,117383,18045,54710,16645,98814
2019-12-06,26575,22606,367734,100329,760183,110577,17036,52355,15918,96394
2019-12-07,27247,22789,377459,95768,757285,110117,16741,53030,15901,94363
2019-12-08,28899,24552,423608,98933,858430,114840,18311,62870,17543,117095
2019-12-09,28155,24776,391297,102978,828034,117011,18584,58822,17630,108394
2019-12-10,27294,22854,394658,105258,847256,118928,16923,53059,16130,99635
2019-12-11,26321,22615,379223,101408,817266,115100,16794,52585,16150,99003
2019-12-12,31675,27227,428727,108611,866690,122055,20572,65098,19601,121863
2019-12-13,29485,25441,397757,104770,845619,118994,19061,59327,18205,110763
2019-12-14,29628,25502,401611,102962,849536,118024,19010,59819,18029,113479
2019-12-15,28836,24971,443992,105450,945936,118871,18995,66404,17919,125344
2019-12-16,28654,24708,400551,104958,847691,117493,18353,57763,17475,108395
2019-12-17,36291,30985,417092,112436,879998,122553,23038,70497,21780,131714
2019-12-18,39542,33696,430559,113036,864849,124143,24896,77479,23075,136670
2019-12-19,41522,35438,424698,115319,904742,129726,26208,78454,24462,142272
2019-12-20,27686,23649,356129,95203,770072,110704,17372,53122,16314,97551
2019-12-21,24075,20288,337087,87849,732309,103381,14789,46945,14161,88100
2019-12-22,22900,19593,367371,86766,774566,101349,14455,49919,13802,93049
2019-12-23,20474,17244,375345,93520,792035,108116,12627,44386,12181,80126
2019-12-24,19279,16329,386235,94461,762324,107658,12045,39828,11081,69714
2019-12-25,18383,15516,375860,92295,803642,108700,11361,39013,10981,73800
2019-12-26,23014,19314,378872,95350,806411,111387,14124,45255,13475,82863
2019-12-27,29873,25250,409943,98569,854940,114524,18469,65254,17447,117906
2019-12-28,35263,29417,384266,100157,809253,116526,20952,62873,19810,115594
2019-12-29,35608,29791,397201,99647,845972,116134,21404,66721,20300,125717
2019-12-30,25941,21696,366412,94945,785584,110459,15830,49104,14821,90173

2020-01-01,21153,17285,277676,74195,629530,91980,12360,37582,11760,69526
2020-01-02,29782,25282,421044,108414,885834,124979,18898,61120,17867,110918
2020-01-03,33547,27950,433653,116694,935534,133083,20623,64756,19583,119125
2020-01-04,37388,31592,449668,120949,992827,138889,23543,74506,22563,141764
2020-01-05,38603,32850,474783,121803,1043796,138147,24658,81819,23506,155568
2020-01-06,42504,35915,462800,127489,1032428,148219,26812,83767,25283,155058
2020-01-07,37351,31729,442613,124716,986311,145888,23724,76211,22386,139338
2020-01-08,36971,31733,445396,126450,1038558,147809,24055,77047,22712,147070
2020-01-09,32945,27815,417457,119204,942536,140594,21112,68719,19980,126238
2020-01-10,27134,22659,376707,108358,844943,124715,16984,54611,16121,99727
2020-01-11,24381,20386,355886,102800,794111,120050,15275,48825,14519,92921
2020-01-12,26884,22654,386151,103344,842482,117986,17069,57885,16144,107382
2020-01-13,29246,24389,364180,103857,779740,117191,18107,56900,17018,101087
2020-01-14,27889,24847,339598,98332,748727,115572,18588,59502,17494,109523

2020-01-15,29604,24847,369525,103255,807776,119206,18588,59502,17494,109523
2020-01-16,31287,26315,405955,114111,850559,125838,19915,64063,18192,110746
2020-01-17,31162,26378,399756,113611,831541,124098,20125,63731,18094,108666
2020-01-18,14639,26008,399498,113914,859968,128856,19633,61686,17728,103535
